Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,1909,Pro,2020/05/12,18363.836,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,1909,Pro,2020/04/14,18363.778,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,1909,Pro,2020/03/12,18363.72,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,1909,Pro,2020/02/11,18363.657,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,1909,Pro,2020/01/14,18363.592,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,1909,Pro,2019/12/10,18363.535,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,1909,Pro,2019/10/05,18363.418,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,1909,Pro,2021/06/08,18363.1621,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,1909,Pro,2021/05/11,18363.1556,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,1909,Pro,2021/04/13,18363.15,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,1909,Pro,2021/03/09,18363.144,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,1909,Pro,2021/02/11,18363.1379,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,1909,Pro,2021/01/12,18363.1316,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,1909,Pro,2020/12/08,18363.1256,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,1909,Pro,2020/11/10,18363.1198,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,1909,Pro,2020/10/13,18363.1139,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,1909,Pro,2020/09/08,18363.1082,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,1909,Pro,2020/08/11,18363.1016,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,1903,Pro,2020/07/14,18362.959,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,1903,Pro,2020/05/12,18362.836,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,1903,Pro,2020/03/12,18362.72,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,1903,Pro,2020/02/11,18362.657,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
